id,industry,company_size_desc,company_size_tag,problem_title,raw_input_text,stakeholders,existing_systems,budget_band,timeline_target,discovery_questions,gap_analysis,brd_objectives,functional_requirements,non_functional_requirements,assumptions,hld_summary,tech_stack,security_notes,effort_breakdown_json,cost_band
101324,Education,a 40-person SME,sme,Manual order processing,"We're a 40-person SME in the education space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on QuickBooks. We'd like this fixed in roughly 6 months, budget is around $20K-$75K. Key people involved: HR Director; CFO; Finance Controller.",HR Director; CFO; Finance Controller,QuickBooks,$20K-$75K,6 months,"Do you need this to integrate with any other tools beyond QuickBooks? | Is QuickBooks staying in place, or is this a full replacement? | How many finance controller currently touch this process each week? | What does success look like in 90 days after launch? | Are there any compliance or data-residency requirements we should design around?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that hr director and finance controller can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for HR Director and Finance Controller; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Java/Spring Boot API layer, which reads/writes to PostgreSQL and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React Native (mobile-first). Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).,FERPA-aligned access controls for student records.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 3, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 11}",low
101325,Energy & Utilities,"a 2,000+ employee enterprise",enterprise,No real-time tracking,"We're a 2,000+ employee enterprise in the energy & utilities space. Shipments and assets can't be tracked once they leave the facility. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 6 months, budget is around $75K-$250K. Key people involved: Store Managers; Operations Manager; Regional Manager; IT Director.",Store Managers; Operations Manager; Regional Manager; IT Director,Excel/Google Sheets,$75K-$250K,6 months,"How many operations manager currently touch this process each week? | Who signs off on the final solution — is it IT Director? | Are there any compliance or data-residency requirements we should design around? | Is Excel/Google Sheets staying in place, or is this a full replacement? | What's the target timeline — 6 months was mentioned, is that firm?","Current state: Shipments and assets can't be tracked once they leave the facility. Desired state: a single system of record that store managers and it director can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'no real-time tracking', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'no real-time tracking'; provide role-based dashboards for Store Managers and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A Vue.js client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'no real-time tracking' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: Vue.js. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 16, ""test_weeks"": 4, ""deploy_weeks"": 3, ""total_weeks"": 27}",mid
101326,Pharmaceuticals,a 40-person SME,sme,Manual order processing,"We're a 40-person SME in the pharmaceuticals space. Orders are tracked in spreadsheets and email, causing delays and pricing errors. Right now we rely on no formal system — mostly email. We'd like this fixed in roughly 3 months, budget is around $750K+. Key people involved: IT Director; Operations Manager; HR Director.",IT Director; Operations Manager; HR Director,no formal system — mostly email,$750K+,3 months,"Is no formal system — mostly email staying in place, or is this a full replacement? | How many hr director currently touch this process each week? | What does success look like in 90 days after launch? | Do you need this to integrate with any other tools beyond no formal system — mostly email?","Current state: Orders are tracked in spreadsheets and email, causing delays and pricing errors. Desired state: a single system of record that it director and hr director can both rely on, with automated handoffs replacing the manual steps in no formal system — mostly email.","Eliminate manual handling of 'manual order processing', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across no formal system — mostly email; automate the workflow steps tied to 'manual order processing'; provide role-based dashboards for IT Director and HR Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes no formal system — mostly email data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A React client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'manual order processing' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,21 CFR Part 11-aware audit trails; validated environments for regulated data.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 11, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 18}",high
101327,Hospitality,a 300-person mid-market company,mid-market,No visibility into sales pipeline,"We're a 300-person mid-market company in the hospitality space. Sales reps keep personal notes; leadership has no live pipeline dashboard. Right now we rely on Salesforce (partially adopted). We'd like this fixed in roughly 6 months, budget is around $75K-$250K. Key people involved: Compliance Officer; CFO; CTO; Regional Manager.",Compliance Officer; CFO; CTO; Regional Manager,Salesforce (partially adopted),$75K-$250K,6 months,"What's the rough budget band you're planning around? | What's the target timeline — 6 months was mentioned, is that firm? | Is Salesforce (partially adopted) staying in place, or is this a full replacement? | Are there any compliance or data-residency requirements we should design around? | Who signs off on the final solution — is it Regional Manager?","Current state: Sales reps keep personal notes; leadership has no live pipeline dashboard. Desired state: a single system of record that compliance officer and regional manager can both rely on, with automated handoffs replacing the manual steps in Salesforce (partially adopted).","Eliminate manual handling of 'no visibility into sales pipeline', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across Salesforce (partially adopted); automate the workflow steps tied to 'no visibility into sales pipeline'; provide role-based dashboards for Compliance Officer and Regional Manager; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Salesforce (partially adopted) data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'no visibility into sales pipeline' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React Native (mobile-first). Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 11, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 19}",mid
101328,Real Estate,a 300-person mid-market company,mid-market,Slow reporting cycles,"We're a 300-person mid-market company in the real estate space. Monthly leadership reports take a week to assemble from five different exports. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 6 weeks, budget is around $750K+. Key people involved: Finance Controller; Founder/CEO; Head of Customer Support.",Finance Controller; Founder/CEO; Head of Customer Support,Shopify plus manual spreadsheets,$750K+,6 weeks,"What's the target timeline — 6 weeks was mentioned, is that firm? | Are there any compliance or data-residency requirements we should design around? | Is Shopify plus manual spreadsheets staying in place, or is this a full replacement? | Who signs off on the final solution — is it Head of Customer Support?","Current state: Monthly leadership reports take a week to assemble from five different exports. Desired state: a single system of record that finance controller and head of customer support can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'slow reporting cycles', give leadership real-time visibility, and reduce processing time/errors within 6 weeks.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'slow reporting cycles'; provide role-based dashboards for Finance Controller and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A React client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'slow reporting cycles' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 1, ""build_weeks"": 5, ""test_weeks"": 2, ""deploy_weeks"": 1, ""total_weeks"": 10}",high
101329,Real Estate,"a 2,000+ employee enterprise",enterprise,Poor lead follow-up,"We're a 2,000+ employee enterprise in the real estate space. Inbound leads sit unassigned for days before anyone reaches out. Right now we rely on an old on-prem ERP. We'd like this fixed in roughly 3 months, budget is around $750K+. Key people involved: Store Managers; Founder/CEO; Product Manager; Head of Customer Support.",Store Managers; Founder/CEO; Product Manager; Head of Customer Support,an old on-prem ERP,$750K+,3 months,"Is an old on-prem ERP staying in place, or is this a full replacement? | What does success look like in 90 days after launch? | Do you need this to integrate with any other tools beyond an old on-prem ERP? | Are there any compliance or data-residency requirements we should design around?","Current state: Inbound leads sit unassigned for days before anyone reaches out. Desired state: a single system of record that store managers and head of customer support can both rely on, with automated handoffs replacing the manual steps in an old on-prem ERP.","Eliminate manual handling of 'poor lead follow-up', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across an old on-prem ERP; automate the workflow steps tied to 'poor lead follow-up'; provide role-based dashboards for Store Managers and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an old on-prem ERP data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Node.js/Express API layer, which reads/writes to MongoDB and handles the core 'poor lead follow-up' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: Vue.js. Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 1, ""build_weeks"": 16, ""test_weeks"": 3, ""deploy_weeks"": 3, ""total_weeks"": 26}",high
101330,Education,"a 2,000+ employee enterprise",enterprise,No self-service for customers,"We're a 2,000+ employee enterprise in the education space. Customers must call or email for status updates that could be automated. Right now we rely on Shopify plus manual spreadsheets. We'd like this fixed in roughly 3 months, budget is around $20K-$75K. Key people involved: VP of Sales; CFO.",VP of Sales; CFO,Shopify plus manual spreadsheets,$20K-$75K,3 months,"Do you need this to integrate with any other tools beyond Shopify plus manual spreadsheets? | Are there any compliance or data-residency requirements we should design around? | Is Shopify plus manual spreadsheets staying in place, or is this a full replacement? | How many cfo currently touch this process each week? | What's the rough budget band you're planning around?","Current state: Customers must call or email for status updates that could be automated. Desired state: a single system of record that vp of sales and cfo can both rely on, with automated handoffs replacing the manual steps in Shopify plus manual spreadsheets.","Eliminate manual handling of 'no self-service for customers', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across Shopify plus manual spreadsheets; automate the workflow steps tied to 'no self-service for customers'; provide role-based dashboards for VP of Sales and CFO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Shopify plus manual spreadsheets data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React client talks to a Python/FastAPI API layer, which reads/writes to PostgreSQL and handles the core 'no self-service for customers' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,FERPA-aligned access controls for student records.,"{""discovery_weeks"": 3, ""design_weeks"": 3, ""build_weeks"": 8, ""test_weeks"": 4, ""deploy_weeks"": 3, ""total_weeks"": 21}",low
101331,Manufacturing,a 5-person startup,startup,Scheduling conflicts,"We're a 5-person startup in the manufacturing space. Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Right now we rely on a homegrown PHP app from 2012. We'd like this fixed in roughly 9-12 months, budget is around $20K-$75K. Key people involved: Head of Customer Support.",Head of Customer Support,a homegrown PHP app from 2012,$20K-$75K,9-12 months,What does success look like in 90 days after launch? | What's the rough budget band you're planning around? | Do you need this to integrate with any other tools beyond a homegrown PHP app from 2012? | Are there any compliance or data-residency requirements we should design around?,"Current state: Staff and resource scheduling happens in shared spreadsheets and constantly clashes. Desired state: a single system of record that head of customer support and head of customer support can both rely on, with automated handoffs replacing the manual steps in a homegrown PHP app from 2012.","Eliminate manual handling of 'scheduling conflicts', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across a homegrown PHP app from 2012; automate the workflow steps tied to 'scheduling conflicts'; provide role-based dashboards for Head of Customer Support and Head of Customer Support; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a homegrown PHP app from 2012 data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Node.js/Express API layer, which reads/writes to PostgreSQL and handles the core 'scheduling conflicts' workflow; async jobs handle notifications and reporting; deployed on AWS.","Frontend: React Native (mobile-first). Backend: Node.js/Express (fast to build with, shares JS with the frontend team). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 3, ""build_weeks"": 10, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 18}",low
101332,Pharmaceuticals,a 300-person mid-market company,mid-market,Manual compliance reporting,"We're a 300-person mid-market company in the pharmaceuticals space. Compliance reports are assembled by hand from scattered spreadsheets each cycle. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 12-18 months, budget is around $750K+. Key people involved: VP of Sales; Warehouse Supervisors; Store Managers.",VP of Sales; Warehouse Supervisors; Store Managers,an outdated Microsoft Access database,$750K+,12-18 months,"Is an outdated Microsoft Access database staying in place, or is this a full replacement? | What's the rough budget band you're planning around? | How many store managers currently touch this process each week?","Current state: Compliance reports are assembled by hand from scattered spreadsheets each cycle. Desired state: a single system of record that vp of sales and store managers can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'manual compliance reporting', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'manual compliance reporting'; provide role-based dashboards for VP of Sales and Store Managers; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band ($750K+) covers a single-region deployment.,"A Vue.js client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'manual compliance reporting' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: Vue.js. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).,21 CFR Part 11-aware audit trails; validated environments for regulated data.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 6, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 15}",high
101333,Energy & Utilities,a 5-person startup,startup,Disconnected inventory systems,"We're a 5-person startup in the energy & utilities space. Inventory counts differ across warehouses, stores, and the website. Right now we rely on a homegrown PHP app from 2012. We'd like this fixed in roughly 12-18 months, budget is around under $20K. Key people involved: IT Director.",IT Director,a homegrown PHP app from 2012,under $20K,12-18 months,Are there any compliance or data-residency requirements we should design around? | Who signs off on the final solution — is it IT Director? | How many it director currently touch this process each week? | What's the rough budget band you're planning around?,"Current state: Inventory counts differ across warehouses, stores, and the website. Desired state: a single system of record that it director and it director can both rely on, with automated handoffs replacing the manual steps in a homegrown PHP app from 2012.","Eliminate manual handling of 'disconnected inventory systems', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across a homegrown PHP app from 2012; automate the workflow steps tied to 'disconnected inventory systems'; provide role-based dashboards for IT Director and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes a homegrown PHP app from 2012 data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React client talks to a .NET Core API layer, which reads/writes to MongoDB and handles the core 'disconnected inventory systems' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: React. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 10, ""test_weeks"": 2, ""deploy_weeks"": 2, ""total_weeks"": 18}",low
101334,Banking & Finance,"a 2,000+ employee enterprise",enterprise,Slow reporting cycles,"We're a 2,000+ employee enterprise in the banking & finance space. Monthly leadership reports take a week to assemble from five different exports. Right now we rely on an old on-prem ERP. We'd like this fixed in roughly 9-12 months, budget is around under $20K. Key people involved: Compliance Officer; Store Managers.",Compliance Officer; Store Managers,an old on-prem ERP,under $20K,9-12 months,Do you need this to integrate with any other tools beyond an old on-prem ERP? | What's the rough budget band you're planning around? | Are there any compliance or data-residency requirements we should design around?,"Current state: Monthly leadership reports take a week to assemble from five different exports. Desired state: a single system of record that compliance officer and store managers can both rely on, with automated handoffs replacing the manual steps in an old on-prem ERP.","Eliminate manual handling of 'slow reporting cycles', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across an old on-prem ERP; automate the workflow steps tied to 'slow reporting cycles'; provide role-based dashboards for Compliance Officer and Store Managers; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an old on-prem ERP data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'slow reporting cycles' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: React. Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: GCP (strong data/analytics tooling at competitive cost).,PCI-DSS scope review; SOC 2-aligned access logging and encryption.,"{""discovery_weeks"": 1, ""design_weeks"": 4, ""build_weeks"": 8, ""test_weeks"": 4, ""deploy_weeks"": 3, ""total_weeks"": 20}",low
101335,Hospitality,a 300-person mid-market company,mid-market,Manual compliance reporting,"We're a 300-person mid-market company in the hospitality space. Compliance reports are assembled by hand from scattered spreadsheets each cycle. Right now we rely on Excel/Google Sheets. We'd like this fixed in roughly 12-18 months, budget is around $20K-$75K. Key people involved: Founder/CEO.",Founder/CEO,Excel/Google Sheets,$20K-$75K,12-18 months,Who signs off on the final solution — is it Founder/CEO? | Do you need this to integrate with any other tools beyond Excel/Google Sheets? | Are there any compliance or data-residency requirements we should design around?,"Current state: Compliance reports are assembled by hand from scattered spreadsheets each cycle. Desired state: a single system of record that founder/ceo and founder/ceo can both rely on, with automated handoffs replacing the manual steps in Excel/Google Sheets.","Eliminate manual handling of 'manual compliance reporting', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across Excel/Google Sheets; automate the workflow steps tied to 'manual compliance reporting'; provide role-based dashboards for Founder/CEO and Founder/CEO; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Excel/Google Sheets data can be exported or accessed via API; assumes budget band ($20K-$75K) covers a single-region deployment.,"A Vue.js client talks to a Java/Spring Boot API layer, which reads/writes to PostgreSQL and handles the core 'manual compliance reporting' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: Vue.js. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 1, ""build_weeks"": 11, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 16}",low
101336,Logistics,"a 2,000+ employee enterprise",enterprise,Legacy system can't scale,"We're a 2,000+ employee enterprise in the logistics space. The aging core system can't handle current transaction volume without crashing. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 6 months, budget is around under $20K. Key people involved: Warehouse Supervisors; Head of Marketing; IT Director.",Warehouse Supervisors; Head of Marketing; IT Director,an outdated Microsoft Access database,under $20K,6 months,"Do you need this to integrate with any other tools beyond an outdated Microsoft Access database? | What's the target timeline — 6 months was mentioned, is that firm? | Is an outdated Microsoft Access database staying in place, or is this a full replacement?","Current state: The aging core system can't handle current transaction volume without crashing. Desired state: a single system of record that warehouse supervisors and it director can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'legacy system can't scale', give leadership real-time visibility, and reduce processing time/errors within 6 months.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'legacy system can't scale'; provide role-based dashboards for Warehouse Supervisors and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a Python/FastAPI API layer, which reads/writes to MongoDB and handles the core 'legacy system can't scale' workflow; async jobs handle notifications and reporting; deployed on GCP.",Frontend: React Native (mobile-first). Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MongoDB (flexible schema for fast-changing document structures). Hosting: GCP (strong data/analytics tooling at competitive cost).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 3, ""design_weeks"": 1, ""build_weeks"": 16, ""test_weeks"": 1, ""deploy_weeks"": 3, ""total_weeks"": 24}",low
101337,Insurance,a 300-person mid-market company,mid-market,Disconnected inventory systems,"We're a 300-person mid-market company in the insurance space. Inventory counts differ across warehouses, stores, and the website. Right now we rely on Salesforce (partially adopted). We'd like this fixed in roughly 3 months, budget is around $75K-$250K. Key people involved: IT Director.",IT Director,Salesforce (partially adopted),$75K-$250K,3 months,"What does success look like in 90 days after launch? | How many it director currently touch this process each week? | Is Salesforce (partially adopted) staying in place, or is this a full replacement?","Current state: Inventory counts differ across warehouses, stores, and the website. Desired state: a single system of record that it director and it director can both rely on, with automated handoffs replacing the manual steps in Salesforce (partially adopted).","Eliminate manual handling of 'disconnected inventory systems', give leadership real-time visibility, and reduce processing time/errors within 3 months.",Capture and structure the data currently spread across Salesforce (partially adopted); automate the workflow steps tied to 'disconnected inventory systems'; provide role-based dashboards for IT Director and IT Director; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes Salesforce (partially adopted) data can be exported or accessed via API; assumes budget band ($75K-$250K) covers a single-region deployment.,"A React Native (mobile-first) client talks to a .NET Core API layer, which reads/writes to PostgreSQL and handles the core 'disconnected inventory systems' workflow; async jobs handle notifications and reporting; deployed on Azure.",Frontend: React Native (mobile-first). Backend: .NET Core (aligns with an existing Microsoft-centric environment). Database: PostgreSQL (relational integrity for transactional records). Hosting: Azure (fits an existing Microsoft 365 / enterprise agreement).,SOC 2-aligned access logging; state-level data privacy review.,"{""discovery_weeks"": 2, ""design_weeks"": 2, ""build_weeks"": 5, ""test_weeks"": 1, ""deploy_weeks"": 1, ""total_weeks"": 11}",mid
101338,Retail,a 40-person SME,sme,Manual reconciliation,"We're a 40-person SME in the retail space. Finance reconciles payments against orders by hand at month-end. Right now we rely on an outdated Microsoft Access database. We'd like this fixed in roughly 12-18 months, budget is around under $20K. Key people involved: Store Managers; Head of Marketing.",Store Managers; Head of Marketing,an outdated Microsoft Access database,under $20K,12-18 months,What's the rough budget band you're planning around? | How many head of marketing currently touch this process each week? | Are there any compliance or data-residency requirements we should design around? | What does success look like in 90 days after launch?,"Current state: Finance reconciles payments against orders by hand at month-end. Desired state: a single system of record that store managers and head of marketing can both rely on, with automated handoffs replacing the manual steps in an outdated Microsoft Access database.","Eliminate manual handling of 'manual reconciliation', give leadership real-time visibility, and reduce processing time/errors within 12-18 months.",Capture and structure the data currently spread across an outdated Microsoft Access database; automate the workflow steps tied to 'manual reconciliation'; provide role-based dashboards for Store Managers and Head of Marketing; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes an outdated Microsoft Access database data can be exported or accessed via API; assumes budget band (under $20K) covers a single-region deployment.,"A Vue.js client talks to a Python/FastAPI API layer, which reads/writes to MySQL and handles the core 'manual reconciliation' workflow; async jobs handle notifications and reporting; deployed on GCP.","Frontend: Vue.js. Backend: Python/FastAPI (strong fit for data-heavy logic and quick iteration). Database: MySQL (widely supported, low operational overhead). Hosting: GCP (strong data/analytics tooling at competitive cost).",Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 1, ""design_weeks"": 2, ""build_weeks"": 9, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 17}",low
101339,Fashion & Apparel,a 40-person SME,sme,Data entry duplication,"We're a 40-person SME in the fashion & apparel space. Staff re-enter the same data into multiple disconnected tools every day. Right now we rely on QuickBooks. We'd like this fixed in roughly 9-12 months, budget is around $250K-$750K. Key people involved: CFO; Store Managers.",CFO; Store Managers,QuickBooks,$250K-$750K,9-12 months,"What's the target timeline — 9-12 months was mentioned, is that firm? | Who signs off on the final solution — is it Store Managers? | Is QuickBooks staying in place, or is this a full replacement? | How many cfo currently touch this process each week?","Current state: Staff re-enter the same data into multiple disconnected tools every day. Desired state: a single system of record that cfo and store managers can both rely on, with automated handoffs replacing the manual steps in QuickBooks.","Eliminate manual handling of 'data entry duplication', give leadership real-time visibility, and reduce processing time/errors within 9-12 months.",Capture and structure the data currently spread across QuickBooks; automate the workflow steps tied to 'data entry duplication'; provide role-based dashboards for CFO and Store Managers; notify stakeholders on status changes.,99.5% uptime target; page loads under 2s for core screens; role-based access control; audit log for all record changes.,Assumes QuickBooks data can be exported or accessed via API; assumes budget band ($250K-$750K) covers a single-region deployment.,"A Vue.js client talks to a Java/Spring Boot API layer, which reads/writes to PostgreSQL and handles the core 'data entry duplication' workflow; async jobs handle notifications and reporting; deployed on AWS.",Frontend: Vue.js. Backend: Java/Spring Boot (matches enterprise reliability and existing ops skillset). Database: PostgreSQL (relational integrity for transactional records). Hosting: AWS (broad managed-service ecosystem and mature tooling).,Standard encryption in transit (TLS) and at rest; role-based access scoped per workspace.,"{""discovery_weeks"": 2, ""design_weeks"": 3, ""build_weeks"": 5, ""test_weeks"": 3, ""deploy_weeks"": 2, ""total_weeks"": 15}",mid
